"id";"name";"description";"price";"image_url"
1;"Oppo enco buds 2";"Opps's leading TWS";1599.0;"\assets\img\products\opppenco.jpg"
2;"Mi Earbuds";"Xiaomis's Latest TWS";2399.0;"\assets\img\products\miearbuds.jpg"
3;"Boult AirBase";"Boult Latest TWS";3199.0;"\assets\img\products\boult.jpg"
4;"boAt Rockerz 520";"Bluetooth overhead Headphones";3999.0;"\assets\img\products\boatrockerz.jpg"
5;"TCL 55' 4k";"4k high resolotion, Premium bezelelss Smart tv";4799.0;"\assets\img\products\tcl55.jpg"
6;"boAt AirDopes 141";"Latest Bluetooth tws with bluetooth 5.4";5599.0;"\assets\img\products\boat141.jpg"
7;"JBL X1";"High quality premium speakers with Advance surround Sound yechnology and DOLBY ATMOS integration";6399.0;"\assets\img\products\jbl.jpg"
8;"Apple iPhone 13";"The latest iPhone with A15 Bionic chip and advanced dual-camera system.";63999.0;"\assets\img\products\iphone13.jpg"
9;"Samsung Galaxy S21";"High-end smartphone with Exynos 2100 and Dynamic AMOLED display.";55999.0;"\assets\img\products\galaxys21.jpg"
10;"Google Pixel 6";"Google’s flagship phone with Tensor chip and exceptional camera quality.";47999.0;"\assets\img\products\pixel6.jpg"
11;"OnePlus 9 Pro";"Premium smartphone with Snapdragon 888 and Fluid AMOLED display.";77599.0;"\assets\img\products\oneplus9pro.jpg"
12;"Sony WH-1000XM4";"Industry-leading noise-canceling headphones with superior sound quality.";27999.0;"\assets\img\products\sonyx.jpg"
13;"Bose QuietComfort 35 II";"Wireless Bluetooth headphones with world-class noise cancellation.";23999.0;"\assets\img\products\boseqc.jpg"
14;"Apple MacBook Pro";"Powerful laptop with M1 chip and Retina display.";103999.0;"\assets\img\products\macbook.jpg"
15;"Dell XPS 13";"Compact and powerful laptop with InfinityEdge display.";79999.0;"\assets\img\products\dellxps13.jpg"
16;"HP Spectre x360";"Convertible laptop with 11th Gen Intel Core processor and 4K OLED display.";95999.0;"\assets\img\products\hpspectre.jpg"
17;"Microsoft Surface Pro 7";"Versatile 2-in-1 laptop with 10th Gen Intel Core processor.";71999.0;"\assets\img\products\microsoftsurface.jpg"
18;"Apple iPad Pro";"High-performance tablet with M1 chip and Liquid Retina display.";63999.0;"http://example.com/ipadpro.jpg"
19;"Samsung Galaxy Tab S7";"Premium tablet with Snapdragon 865+ and 120Hz display.";51999.0;"http://example.com/galaxytabs7.jpg"
20;"Amazon Kindle Paperwhite";"E-reader with high-resolution display and waterproof design.";10399.0;"http://example.com/kindlepaperwhite.jpg"
21;"Sony PlayStation 5";"Next-gen gaming console with ultra-high-speed SSD and 3D audio.";39999.0;"http://example.com/ps5.jpg"
22;"Microsoft Xbox Series X";"Powerful gaming console with 12 teraflops of processing power.";39999.0;"http://example.com/xboxseriesx.jpg"
23;"Nintendo Switch";"Hybrid gaming console with detachable Joy-Con controllers.";23999.0;"http://example.com/switch.jpg"
24;"DJI Mavic Air 2";"Compact drone with 48MP camera and 4K video recording.";63999.0;"http://example.com/mavicair2.jpg"
25;"GoPro HERO9 Black";"Action camera with 5K video and front-facing display.";31999.0;"http://example.com/hero9.jpg"
26;"Canon EOS R5";"Full-frame mirrorless camera with 45MP sensor and 8K video.";311999.0;"http://example.com/eosr5.jpg"
27;"Nikon Z6 II";"Mirrorless camera with 24.5MP sensor and 4K video recording.";159999.0;"http://example.com/z6ii.jpg"
28;"Apple Watch Series 7";"Smartwatch with larger display and advanced health features.";31999.0;"http://example.com/watchseries7.jpg"
29;"Samsung Galaxy Watch 4";"Smartwatch with Wear OS and advanced fitness tracking.";19999.0;"http://example.com/galaxywatch4.jpg"
30;"Fitbit Charge 5";"Fitness tracker with built-in GPS and health metrics.";14399.0;"http://example.com/charge5.jpg"
31;"Garmin Forerunner 945";"Premium GPS running and triathlon smartwatch.";47999.0;"http://example.com/forerunner945.jpg"
32;"Sony A7 III";"Full-frame mirrorless camera with 24.2MP sensor and 4K video.";159999.0;"http://example.com/a7iii.jpg"
33;"Canon PowerShot G7 X Mark III";"Compact camera with 20.1MP sensor and 4K video.";59999.0;"http://example.com/g7xmarkiii.jpg"
34;"Bose SoundLink Revolve+";"Portable Bluetooth speaker with 360-degree sound.";23999.0;"http://example.com/soundlinkrevolveplus.jpg"
35;"JBL Charge 4";"Waterproof portable Bluetooth speaker with powerful sound.";11999.0;"http://example.com/charge4.jpg"
36;"Sonos One";"Smart speaker with voice control and rich sound.";15999.0;"http://example.com/sonosone.jpg"
37;"Amazon Echo Dot";"Smart speaker with Alexa and compact design.";3999.0;"http://example.com/echodot.jpg"
38;"Google Nest Hub";"Smart display with Google Assistant and 7-inch screen.";7199.0;"http://example.com/nesthub.jpg"
39;"Ring Video Doorbell 4";"Smart doorbell with 1080p HD video and motion detection.";15999.0;"http://example.com/ringdoorbell4.jpg"
40;"Arlo Pro 4";"Wireless security camera with 2K video and color night vision.";19999.0;"http://example.com/arlopro4.jpg"
41;"Philips Hue Starter Kit";"Smart lighting system with color-changing bulbs and hub.";15999.0;"http://example.com/huekit.jpg"
42;"TP-Link Kasa Smart Plug";"Wi-Fi smart plug with energy monitoring and voice control.";2399.0;"http://example.com/kasasmartplug.jpg"
43;"Nest Learning Thermostat";"Smart thermostat with auto-schedule and energy-saving features.";19999.0;"http://example.com/nestthermostat.jpg"
44;"Dyson V11 Absolute";"Cordless vacuum cleaner with powerful suction and LCD screen.";55999.0;"http://example.com/v11absolute.jpg"
45;"iRobot Roomba i7+";"Robot vacuum with automatic dirt disposal and smart mapping.";63999.0;"http://example.com/roombai7plus.jpg"
46;"Instant Pot Duo 7-in-1";"Multi-use pressure cooker with 7 cooking functions.";7199.0;"http://example.com/instantpotduo.jpg"
47;"Ninja Foodi 9-in-1";"Pressure cooker and air fryer with TenderCrisp technology.";15999.0;"http://example.com/ninjafoodi.jpg"
48;"KitchenAid Stand Mixer";"Iconic stand mixer with powerful motor and versatile attachments.";30399.0;"http://example.com/kitchenaidmixer.jpg"
49;"Breville Barista Express";"Espresso machine with integrated grinder and steam wand.";55999.0;"http://example.com/baristaexpress.jpg"
50;"Anova Precision Cooker";"Sous vide precision cooker with Wi-Fi and app control.";15999.0;"http://example.com/anovaprecision.jpg"
51;"Philips Airfryer XXL";"Large capacity air fryer with rapid air technology.";23999.0;"http://example.com/airfryerxxl.jpg"
52;"Samsung QLED TV";"4K QLED TV with Quantum HDR and smart features.";79999.0;"http://example.com/qledtv.jpg"
53;"LG OLED TV";"4K OLED TV with perfect black and infinite contrast.";119999.0;"http://example.com/oledtv.jpg"
54;"Sony Bravia XR";"4K LED TV with Cognitive Processor XR and Google TV.";103999.0;"http://example.com/braviaxr.jpg"
55;"TCL 6-Series";"Affordable 4K QLED TV with Dolby Vision and Roku TV.";51999.0;"http://example.com/tcl6series.jpg"
